"Timestamp","Direction","Topic","Payload"
"2026-08-14T07:06:43.956Z","IN","m360/DF/0000/out/1/2/1/0/37","304"
"2026-08-14T07:06:43.957Z","IN","m360/DF/0000/out/1/2/1/0/37","304"
"2026-08-14T07:06:43.959Z","IN","m360/DF/0000/out/1/3/1/0/37","122"
"2026-08-14T07:06:43.959Z","IN","m360/DF/0000/out/1/3/1/0/37","122"
"2026-08-14T07:06:43.960Z","IN","m360/DF/0000/out/1/4/1/0/37","425"
"2026-08-14T07:06:43.960Z","IN","m360/DF/0000/out/1/4/1/0/37","425"
"2026-08-14T07:06:44.358Z","IN","m360/DF/0000/out/1/5/1/0/37","333"
"2026-08-14T07:06:44.358Z","IN","m360/DF/0000/out/1/5/1/0/37","333"
"2026-08-14T07:06:44.358Z","IN","m360/DF/0000/out/1/6/1/0/37","261"
"2026-08-14T07:06:44.358Z","IN","m360/DF/0000/out/1/6/1/0/37","261"
"2026-08-14T07:07:06.817Z","IN","m360/DF/0000/out/99/11/1/0/0","14"
"2026-08-14T07:07:06.818Z","IN","m360/DF/0000/out/99/11/1/0/0","14"
"2026-08-14T07:07:06.889Z","IN","m360/DF/0000/out/99/12/1/0/1","21"
"2026-08-14T07:07:06.889Z","IN","m360/DF/0000/out/99/12/1/0/1","21"
"2026-08-14T07:07:23.259Z","IN","m360/DF/0000/out/2/1/1/0/37","114"
"2026-08-14T07:07:23.262Z","IN","m360/DF/0000/out/2/1/1/0/37","114"
"2026-08-14T07:07:23.394Z","IN","m360/DF/0000/out/2/4/1/0/37","1020"
"2026-08-14T07:07:23.394Z","IN","m360/DF/0000/out/2/4/1/0/37","1020"
"2026-08-14T07:07:23.425Z","IN","m360/DF/0000/out/2/5/1/0/37","616"
"2026-08-14T07:07:23.425Z","IN","m360/DF/0000/out/2/5/1/0/37","616"
"2026-08-14T07:07:23.425Z","IN","m360/DF/0000/out/2/6/1/0/37","366"
"2026-08-14T07:07:23.428Z","IN","m360/DF/0000/out/2/6/1/0/37","366"
"2026-08-14T07:07:26.072Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":34801,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":34801,""rssi"":-63,""wifiRssi"":-63,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-14T07:07:26.072Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":34801,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":34801,""rssi"":-63,""wifiRssi"":-63,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-14T07:07:26.089Z","IN","m360/DF/0000/gateway/status","{""timestamp"":34801,""isConnected"":true,""connectionTime"":34793,""reconnectCount"":0,""lastErrorCode"":0,""uptime"":34801,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-14T07:07:43.899Z","IN","m360/DF/0000/out/1/1/1/0/37","347"
"2026-08-14T07:07:43.899Z","IN","m360/DF/0000/out/1/1/1/0/37","347"
"2026-08-14T07:07:44.033Z","IN","m360/DF/0000/out/1/2/1/0/37","333"
"2026-08-14T07:07:44.035Z","IN","m360/DF/0000/out/1/2/1/0/37","333"
"2026-08-14T07:07:44.035Z","IN","m360/DF/0000/out/1/3/1/0/37","129"
"2026-08-14T07:07:44.037Z","IN","m360/DF/0000/out/1/3/1/0/37","129"
"2026-08-14T07:07:44.252Z","IN","m360/DF/0000/out/1/4/1/0/37","437"
"2026-08-14T07:07:44.252Z","IN","m360/DF/0000/out/1/4/1/0/37","437"
"2026-08-14T07:07:44.252Z","IN","m360/DF/0000/out/1/5/1/0/37","331"
"2026-08-14T07:07:44.252Z","IN","m360/DF/0000/out/1/5/1/0/37","331"
"2026-08-14T07:07:44.252Z","IN","m360/DF/0000/out/1/6/1/0/37","259"
"2026-08-14T07:07:44.252Z","IN","m360/DF/0000/out/1/6/1/0/37","259"
"2026-08-14T07:08:23.262Z","IN","m360/DF/0000/out/2/1/1/0/37","119"
"2026-08-14T07:08:23.262Z","IN","m360/DF/0000/out/2/1/1/0/37","119"
"2026-08-14T07:08:23.364Z","IN","m360/DF/0000/out/2/2/1/0/37","422"
"2026-08-14T07:08:23.365Z","IN","m360/DF/0000/out/2/2/1/0/37","422"
"2026-08-14T07:08:23.681Z","IN","m360/DF/0000/out/2/5/1/0/37","607"
"2026-08-14T07:08:23.681Z","IN","m360/DF/0000/out/2/5/1/0/37","607"
"2026-08-14T07:08:23.681Z","IN","m360/DF/0000/out/2/6/1/0/37","389"
"2026-08-14T07:08:23.681Z","IN","m360/DF/0000/out/2/6/1/0/37","389"
"2026-08-14T07:08:26.075Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":34861,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":34861,""rssi"":-64,""wifiRssi"":-64,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-14T07:08:26.075Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":34861,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":34861,""rssi"":-64,""wifiRssi"":-64,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-14T07:08:26.093Z","IN","m360/DF/0000/gateway/status","{""timestamp"":34861,""isConnected"":true,""connectionTime"":34853,""reconnectCount"":0,""lastErrorCode"":0,""uptime"":34861,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-14T07:08:43.991Z","IN","m360/DF/0000/out/1/2/1/0/37","252"
"2026-08-14T07:08:43.991Z","IN","m360/DF/0000/out/1/2/1/0/37","252"
"2026-08-14T07:08:44.099Z","IN","m360/DF/0000/out/1/3/1/0/37","106"
"2026-08-14T07:08:44.117Z","IN","m360/DF/0000/out/1/3/1/0/37","106"
"2026-08-14T07:08:44.129Z","IN","m360/DF/0000/out/1/4/1/0/37","411"
"2026-08-14T07:08:44.130Z","IN","m360/DF/0000/out/1/4/1/0/37","411"
"2026-08-14T07:08:44.134Z","IN","m360/DF/0000/out/1/5/1/0/37","316"
"2026-08-14T07:08:44.134Z","IN","m360/DF/0000/out/1/5/1/0/37","316"
"2026-08-14T07:08:44.474Z","IN","m360/DF/0000/out/1/6/1/0/37","250"
