"Timestamp","Direction","Topic","Payload"
"2026-08-05T13:12:31.518Z","IN","m360/DF/0000/out/1/5/1/0/37","462"
"2026-08-05T13:12:31.631Z","IN","m360/DF/0000/out/1/6/1/0/37","689"
"2026-08-05T13:12:46.218Z","IN","m360/DF/0000/out/2/1/1/0/37","36"
"2026-08-05T13:12:46.284Z","IN","m360/DF/0000/out/2/2/1/0/37","1003"
"2026-08-05T13:12:46.308Z","IN","m360/DF/0000/out/2/3/1/0/37","1019"
"2026-08-05T13:12:46.361Z","IN","m360/DF/0000/out/2/5/1/0/37","1015"
"2026-08-05T13:12:46.408Z","IN","m360/DF/0000/out/2/6/1/0/37","877"
"2026-08-05T13:13:23.377Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505178,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505178,""rssi"":-61,""wifiRssi"":-61,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:13:23.441Z","IN","m360/DF/0000/gateway/status","{""timestamp"":505178,""isConnected"":true,""connectionTime"":408832,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":505178,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:13:31.450Z","IN","m360/DF/0000/out/1/1/1/0/37","1015"
"2026-08-05T13:13:31.477Z","IN","m360/DF/0000/out/1/2/1/0/37","940"
"2026-08-05T13:13:31.499Z","IN","m360/DF/0000/out/1/3/1/0/37","206"
"2026-08-05T13:13:31.533Z","IN","m360/DF/0000/out/1/4/1/0/37","931"
"2026-08-05T13:13:31.618Z","IN","m360/DF/0000/out/1/5/1/0/37","446"
"2026-08-05T13:13:31.651Z","IN","m360/DF/0000/out/1/6/1/0/37","649"
"2026-08-05T13:13:46.207Z","IN","m360/DF/0000/out/2/1/1/0/37","61"
"2026-08-05T13:13:46.511Z","IN","m360/DF/0000/out/2/2/1/0/37","1005"
"2026-08-05T13:13:46.511Z","IN","m360/DF/0000/out/2/3/1/0/37","1005"
"2026-08-05T13:13:46.516Z","IN","m360/DF/0000/out/2/5/1/0/37","1018"
"2026-08-05T13:13:46.516Z","IN","m360/DF/0000/out/2/6/1/0/37","855"
"2026-08-05T13:14:23.382Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":505238,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":505238,""rssi"":-60,""wifiRssi"":-60,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:14:23.440Z","IN","m360/DF/0000/gateway/status","{""timestamp"":505238,""isConnected"":true,""connectionTime"":408892,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":505238,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:14:31.530Z","IN","m360/DF/0000/out/1/1/1/0/37","1012"
"2026-08-05T13:14:31.556Z","IN","m360/DF/0000/out/1/2/1/0/37","935"
"2026-08-05T13:14:31.579Z","IN","m360/DF/0000/out/1/3/1/0/37","192"
"2026-08-05T13:14:31.607Z","IN","m360/DF/0000/out/1/4/1/0/37","949"
"2026-08-05T13:14:31.719Z","IN","m360/DF/0000/out/1/5/1/0/37","447"
"2026-08-05T13:14:31.720Z","IN","m360/DF/0000/out/1/6/1/0/37","679"
